item_id,machine_type,production_line,service_interval_days
1,Logistica,both,30
2,Producao,both,30
3,Producao,both,30
4,Producao,pao_de_mel,30
5,Producao,both,30
6,Producao,both,30
7,Producao,both,30
8,Producao,both,30
9,Producao,both,30
10,Producao,both,30
11,Embalagem,both,30
12,Embalagem,both,30
13,Producao,both,30
14,Producao,pao_de_mel,30
15,Embalagem,both,30
16,Embalagem,both,30
17,Infraestrutura,both,90
18,Producao,trufa,30
19,Producao,trufa,30
20,Infraestrutura,both,90
21,Infraestrutura,both,90
22,Producao,both,30
23,Producao,pao_de_mel,30
24,Producao,pao_de_mel,30
25,Producao,trufa,30
26,Producao,both,30
27,Producao,both,30
28,Producao,both,30
